alg,num_kmers,time,k,omega
bb,963,115,6,1
dc,963,35,6,1
rappas,963,106,6,1
bb,1040,110,6,1
dc,1040,39,6,1
rappas,1040,98,6,1
bb,874,119,6,1
dc,874,34,6,1
rappas,874,105,6,1
bb,1037,131,6,1
dc,1037,38,6,1
rappas,1037,128,6,1
bb,1247,155,6,1
dc,1247,47,6,1
rappas,1247,140,6,1
bb,1264,136,6,1
dc,1264,48,6,1
rappas,1264,145,6,1
bb,934,129,6,1
dc,934,35,6,1
rappas,934,112,6,1
bb,901,107,6,1
dc,901,33,6,1
rappas,901,98,6,1
bb,1167,114,6,1
dc,1167,46,6,1
rappas,1167,119,6,1
bb,883,90,6,1
dc,883,34,6,1
rappas,883,103,6,1
bb,1188,120,6,1
dc,1188,46,6,1
rappas,1188,107,6,1
bb,1067,146,6,1
dc,1067,36,6,1
rappas,1067,129,6,1
bb,1150,126,6,1
dc,1150,44,6,1
rappas,1150,122,6,1
bb,843,120,6,1
dc,843,32,6,1
rappas,843,98,6,1
bb,1213,131,6,1
dc,1213,45,6,1
rappas,1213,132,6,1
bb,1026,133,6,1
dc,1026,38,6,1
rappas,1026,114,6,1
bb,1208,126,6,1
dc,1208,45,6,1
rappas,1208,123,6,1
bb,859,101,6,1
dc,859,31,6,1
rappas,859,88,6,1
bb,943,110,6,1
dc,943,34,6,1
rappas,943,88,6,1
bb,1142,134,6,1
dc,1142,46,6,1
rappas,1142,136,6,1
bb,1393,155,6,1
dc,1393,48,6,1
rappas,1393,154,6,1
bb,963,145,6,1
dc,963,41,6,1
rappas,963,112,6,1
bb,1313,136,6,1
dc,1313,48,6,1
rappas,1313,138,6,1
bb,1272,168,6,1
dc,1272,147,6,1
rappas,1272,149,6,1
bb,769,124,6,1
dc,769,35,6,1
rappas,769,96,6,1
bb,1126,124,6,1
dc,1126,44,6,1
rappas,1126,127,6,1
bb,1116,123,6,1
dc,1116,43,6,1
rappas,1116,121,6,1
bb,954,109,6,1
dc,954,33,6,1
rappas,954,100,6,1
bb,1143,143,6,1
dc,1143,45,6,1
rappas,1143,125,6,1
bb,1509,144,6,1
dc,1509,51,6,1
rappas,1509,148,6,1
bb,1558,157,6,1
dc,1558,54,6,1
rappas,1558,150,6,1
bb,653,104,6,1
dc,653,28,6,1
rappas,653,79,6,1
bb,1016,129,6,1
dc,1016,37,6,1
rappas,1016,119,6,1
bb,867,262,6,1
dc,867,40,6,1
rappas,867,118,6,1
bb,767,100,6,1
dc,767,31,6,1
rappas,767,91,6,1
bb,1033,117,6,1
dc,1033,39,6,1
rappas,1033,120,6,1
bb,1170,131,6,1
dc,1170,47,6,1
rappas,1170,128,6,1
bb,1251,140,6,1
dc,1251,46,6,1
rappas,1251,133,6,1
bb,777,97,6,1
dc,777,31,6,1
rappas,777,82,6,1
bb,720,82,6,1
dc,720,28,6,1
rappas,720,83,6,1
bb,1156,108,6,1
dc,1156,44,6,1
rappas,1156,116,6,1
bb,1238,129,6,1
dc,1238,47,6,1
rappas,1238,125,6,1
bb,1119,131,6,1
dc,1119,44,6,1
rappas,1119,119,6,1
bb,1217,152,6,1
dc,1217,47,6,1
rappas,1217,146,6,1
bb,891,116,6,1
dc,891,33,6,1
rappas,891,104,6,1
bb,722,98,6,1
dc,722,30,6,1
rappas,722,84,6,1
bb,1112,180,6,1
dc,1112,51,6,1
rappas,1112,138,6,1
bb,1123,138,6,1
dc,1123,44,6,1
rappas,1123,132,6,1
bb,1030,121,6,1
dc,1030,35,6,1
rappas,1030,109,6,1
bb,1162,145,6,1
dc,1162,48,6,1
rappas,1162,137,6,1
bb,952,121,6,1
dc,952,34,6,1
rappas,952,105,6,1
bb,1293,166,6,1
dc,1293,48,6,1
rappas,1293,158,6,1
bb,930,119,6,1
dc,930,35,6,1
rappas,930,95,6,1
bb,1069,123,6,1
dc,1069,39,6,1
rappas,1069,118,6,1
bb,1271,136,6,1
dc,1271,46,6,1
rappas,1271,140,6,1
bb,1102,124,6,1
dc,1102,38,6,1
rappas,1102,116,6,1
bb,1298,145,6,1
dc,1298,49,6,1
rappas,1298,140,6,1
bb,999,122,6,1
dc,999,35,6,1
rappas,999,110,6,1
bb,878,194,6,1
dc,878,42,6,1
rappas,878,96,6,1
bb,848,107,6,1
dc,848,33,6,1
rappas,848,92,6,1
bb,1198,121,6,1
dc,1198,46,6,1
rappas,1198,121,6,1
bb,1073,118,6,1
dc,1073,38,6,1
rappas,1073,101,6,1
bb,874,111,6,1
dc,874,37,6,1
rappas,874,100,6,1
bb,1128,128,6,1
dc,1128,43,6,1
rappas,1128,119,6,1
bb,925,111,6,1
dc,925,35,6,1
rappas,925,108,6,1
bb,1219,160,6,1
dc,1219,49,6,1
rappas,1219,141,6,1
bb,1218,131,6,1
dc,1218,46,6,1
rappas,1218,123,6,1
bb,913,119,6,1
dc,913,34,6,1
rappas,913,103,6,1
bb,1355,138,6,1
dc,1355,48,6,1
rappas,1355,136,6,1
bb,913,109,6,1
dc,913,34,6,1
rappas,913,93,6,1
bb,881,111,6,1
dc,881,32,6,1
rappas,881,98,6,1
bb,858,97,6,1
dc,858,117,6,1
rappas,858,109,6,1
bb,998,119,6,1
dc,998,40,6,1
rappas,998,115,6,1
bb,916,102,6,1
dc,916,34,6,1
rappas,916,99,6,1
bb,1014,105,6,1
dc,1014,38,6,1
rappas,1014,89,6,1
bb,949,118,6,1
dc,949,35,6,1
rappas,949,112,6,1
bb,998,118,6,1
dc,998,36,6,1
rappas,998,115,6,1
bb,1102,126,6,1
dc,1102,40,6,1
rappas,1102,127,6,1
bb,952,130,6,1
dc,952,35,6,1
rappas,952,119,6,1
bb,1242,138,6,1
dc,1242,48,6,1
rappas,1242,134,6,1
bb,1203,142,6,1
dc,1203,46,6,1
rappas,1203,130,6,1
bb,903,121,6,1
dc,903,32,6,1
rappas,903,102,6,1
bb,1356,164,6,1
dc,1356,49,6,1
rappas,1356,155,6,1
bb,1134,144,6,1
dc,1134,45,6,1
rappas,1134,123,6,1
bb,1288,145,6,1
dc,1288,49,6,1
rappas,1288,130,6,1
bb,970,131,6,1
dc,970,35,6,1
rappas,970,115,6,1
bb,1381,148,6,1
dc,1381,48,6,1
rappas,1381,146,6,1
bb,928,130,6,1
dc,928,34,6,1
rappas,928,109,6,1
bb,1135,119,6,1
dc,1135,44,6,1
rappas,1135,110,6,1
bb,3239,293,7,1
dc,3239,183,7,1
rappas,3239,361,7,1
bb,3890,465,7,1
dc,3890,155,7,1
rappas,3890,471,7,1
bb,4653,503,7,1
dc,4653,217,7,1
rappas,4653,495,7,1
bb,3649,422,7,1
dc,3649,128,7,1
rappas,3649,405,7,1
bb,3672,421,7,1
dc,3672,136,7,1
rappas,3672,362,7,1
bb,3674,477,7,1
dc,3674,141,7,1
rappas,3674,466,7,1
bb,3604,441,7,1
dc,3604,129,7,1
rappas,3604,435,7,1
bb,2392,354,7,1
dc,2392,96,7,1
rappas,2392,308,7,1
bb,4483,404,7,1
dc,4483,152,7,1
rappas,4483,456,7,1
bb,3177,398,7,1
dc,3177,123,7,1
rappas,3177,386,7,1
bb,3245,374,7,1
dc,3245,119,7,1
rappas,3245,372,7,1
bb,3378,365,7,1
dc,3378,119,7,1
rappas,3378,364,7,1
bb,4567,412,7,1
dc,4567,169,7,1
rappas,4567,478,7,1
bb,2632,369,7,1
dc,2632,122,7,1
